ID,Tipo,Proveedor,Producto,Cantidad,Fecha_Programada,Fecha_Llegada,Estado,Dias_Retraso
51,Recepción,Proveedor 02,Producto I,129,03/09/2026,03/09/2026,A tiempo,0
38,Despacho,Proveedor 02,Producto D,118,04/09/2026,04/09/2026,A tiempo,0
6,Despacho,Proveedor 02,Producto B,214,09/09/2026,09/09/2026,A tiempo,0
52,Despacho,Proveedor 02,Producto D,209,17/09/2026,17/09/2026,A tiempo,0
58,Despacho,Proveedor 03,Producto E,102,09/09/2026,09/09/2026,A tiempo,0
22,Despacho,Proveedor 03,Producto H,21,11/09/2026,11/09/2026,A tiempo,0
1,Despacho,Proveedor 04,Producto D,91,04/09/2026,04/09/2026,A tiempo,0
29,Despacho,Proveedor 04,Producto I,406,06/09/2026,06/09/2026,A tiempo,0
47,Recepción,Proveedor 04,Producto G,81,06/09/2026,06/09/2026,A tiempo,0
12,Despacho,Proveedor 04,Producto E,379,12/09/2026,12/09/2026,A tiempo,0
49,Despacho,Proveedor 04,Producto F,142,17/09/2026,17/09/2026,A tiempo,0
26,Despacho,Proveedor 05,Producto D,49,01/09/2026,01/09/2026,A tiempo,0
10,Recepción,Proveedor 05,Producto B,457,03/09/2026,03/09/2026,A tiempo,0
77,Recepción,Proveedor 05,Producto E,127,10/09/2026,10/09/2026,A tiempo,0
80,Recepción,Proveedor 05,Producto D,432,11/09/2026,11/09/2026,A tiempo,0
43,Despacho,Proveedor 05,Producto H,166,13/09/2026,13/09/2026,A tiempo,0
72,Recepción,Proveedor 05,Producto A,382,17/09/2026,17/09/2026,A tiempo,0
71,Despacho,Proveedor 06,Producto F,243,09/09/2026,09/09/2026,A tiempo,0
62,Recepción,Proveedor 06,Producto D,369,10/09/2026,10/09/2026,A tiempo,0
73,Recepción,Proveedor 06,Producto G,55,14/09/2026,14/09/2026,A tiempo,0
14,Recepción,Proveedor 06,Producto A,137,15/09/2026,15/09/2026,A tiempo,0
